	119	244	247	311	338	564	612	679	681	700	727	750	753	774	785	896	1046	1054	1727	1775	1983	1986	1990	2082	2083	2118	2123	2130	2140	2141	2145	2148	2153	2159	2161	2170	2187	2244	2249	2265	2266	2284	2315	2337	2345	2351	2369	2375	2391	2435	2471	2477	2478	2484	2519	2520	2540	2541	2554	2576	2578	2662	2708	2713	2720	2726	2727	2732	2733	2754	2756	2762	2764	2767	2789	2794	2800	2801	2803	2812	2883	2907	2913	2955	2972	3016	3019	3038	3042	3053	3059	3080	3100	3108	3114	3117	3121	3151	3168	3182	3226	3261	3278	3291	3292	3305	3308	3324	3325	3331	3333	3339	3345	3365	3366	3372	3373	3385	3386	3393	3394	3397	3440	3446	3463	3475	3478	3488	3516	3517	3559	3598	3639	3647	3657	3658	3672	3676	3690	3696	3702	3715	3724	3730	3736	3739	3741	3742	3743	3749	3759	3763	3767	3779	3784	3821	3825	3827	3830	3878	3883	3899	3902	3950	3957	3958	3961	4004	4011	4030	4032	4044	4054	4064	4075	4091	4101	4107	4114	4121	4168	4170	4171	4173	4174	4184	4189	4197	4205	4211	4235	4236	4409	4421	4436	4463	4485	4493	4497	4499	4506	4509	4513	4539	4583	4594	4595	4614	4616	4678	4679	4735	4737	4740	4747	4748	4763	4768	4810	4828	4870	4891	4893	4909	4911	4913	4915	4927	4932	4943	4992	4993	5002	5035	5039	5070	5073	5078	5090	5095	5152	5161	5206	5215	5238	5253	5311	5320	5329	5333	5358	5359	5379	5381	5391	5394	5426	5430	5452	5453	5454	5468	5472	5479	5483	5487	5503	5505	5526	5546	5556	5564	5565	5576	5578	5591	5593	5625	5656	5717	5719	5727	5732	5734	5746	5775	5877	5978	6018	6049	6058	6238	6256	6436	6451	6476	6503	7187	7638	7699	8197	9904	10631	10660	12597	12620	14888	15232	15459	16124	16230	16362	16533	16850	21800	27400	27661	30623	31072	31264	31378	31477	32169	34312	36339	36811	37392	39042	39764	40632	40703	40973	41684	41781	44564	47320	47471	47528	50294	51634	54158	54454	54840	55331	55480	56959	57469	59708	60164	60172	60198	60490	60496	60613	60714	60726	60751	60754	60795	60834	60871	60877	60936	60953	65628	65999	68740	68844	71329	71360	71616	72081	73303	77993	82146	82148	104741	104865	110635	119182	119607	121396	123015	123606	123619	123631	124087	129228	130881	131535	134018	147912	148121	148192	150311	151075	153994	154058	154256	156418	157920	157921	176870	185457	208898	208908	213023	213039	216235	216237	216326	219024	219078	222786	517045	657298	667490	1349907	2723601	2761171	3052762	3062316	3081361	4659569	5310993	6433119	6442177	10113978	11556711
ACEA_AR_agonist_80hr                                      		0.002		0.001	0.027000000000000003		0.218	0.012		0.24			0.0		0.997	0.0		0.0		0.001	0.004										0.001		0.17600000000000002				0.9990000000000001	0.001	0.0	0.0	0.0			0.272	0.182			0.0005					0.0		0.0				1.0			0.0																		0.0				0.001												0.0	0.32899999999999996															0.027999999999999997		0.027000000000000003				0.0				0.0			0.04						0.0		0.01		0.006							0.07400000000000001											0.002						0.0				0.006999999999999999					0.0									0.009000000000000001													1.0								0.055999999999999994				1.0							0.107																					0.0		0.0			0.004										0.0												0.071	0.0									0.331					0.002				0.011000000000000001																0.867					0.192																	0.001																												0.001																																			0.0																																							0.11900000000000001		0.765	0.0										
ACEA_AR_agonist_AUC_viability                             		0.006999999999999999		0.772	0.024		0.525	0.013999999999999999		0.005			0.013999999999999999		0.0	0.158		0.31		1.0	0.001										0.17300000000000001		0.011000000000000001				0.069	0.006	0.17300000000000001	1.0	0.11199999999999999			0.171	0.024			0.754					0.08800000000000001		0.1				0.364			1.0																		1.0				0.1												1.0	0.451															1.0		0.34700000000000003				0.98				1.0			0.006						1.0		0.013000000000000001		0.001							1.0											0.049						0.002				0.882					1.0									0.0													0.08900000000000001								0.0				0.129							0.121																					0.002		1.0			0.212										0.03												0.001	1.0									0.002					1.0				1.0																0.0					0.0																	0.174																												1.0																																			1.0																																							0.0		0.001	1.0										
ACEA_AR_antagonist_80hr                                   		0.001		0.038	0.0		0.02	0.023		0.002			0.016		1.0	0.0		0.368		1.0	0.209										0.304		0.0				1.0	0.001	0.0	1.0	0.187			0.033	0.0			1.0					0.001		0.006				0.049			1.0																		1.0				0.002												1.0	0.845															1.0		0.046				1.0				0.0			0.017						1.0		0.05		0.223							1.0											0.257						0.009000000000000001				0.025					1.0									0.001													0.987								1.0				1.0							0.9259999999999999																					0.059000000000000004		1.0			0.43200000000000005										0.009000000000000001												0.0	1.0									0.141					1.0				1.0																0.534					0.0																	0.262																												1.0																																			1.0																																							0.0		0.013999999999999999	1.0										
ACEA_AR_antagonist_AUC_viability                          		0.03		0.38	0.0		0.073	0.002		0.053			0.013000000000000001		0.981	0.0		0.442		0.9990000000000001	0.214										0.348		0.0				0.9990000000000001	0.003	0.001	1.0	0.08199999999999999			0.018000000000000002	0.001			0.974					0.01		0.03				0.134			1.0																		1.0				0.006												1.0	0.8959999999999999															1.0		0.215				1.0				0.0			0.001						1.0		0.13		0.127							1.0											0.21100000000000002						0.013000000000000001				0.005					1.0									0.001													0.7120000000000001								0.992				0.6559999999999999							0.645																					0.012		1.0			0.382										0.004												0.006999999999999999	1.0									0.19					1.0				1.0																0.306					0.011000000000000001																	0.138																												1.0																																			1.0																																							0.004		0.038	1.0										
ACEA_ER_80hr                                              		0.284		0.0	0.021		0.619	0.028999999999999998		0.298			0.0		0.017	0.16	0.639	0.006		0.001	0.009000000000000001										0.006		0.0				0.34600000000000003	0.128	0.07400000000000001	0.0	0.284			0.122	0.081			0.0					0.05		0.0				0.981			0.152	0.0	0.027000000000000003			0.0													0.0				0.022000000000000002												0.35100000000000003	0.157															0.003		0.07400000000000001				0.079				0.894	0.008		0.03				0.483		0.0	0.027000000000000003	0.016		0.001		0.154		0.001			0.245											0.474						0.917				0.001					0.033								0.305	0.094		0.032											0.955				0.006				0.144				0.585							0.425	0.003														0.193	0.0					0.408		0.21600000000000003			0.081										0.298					0.001							0.01	0.0		0.004							0.355	0.001		0.257		0.007666666666666666				0.006						0.121										1.0		0.912			0.004																	0.034						0.7709999999999999																						0.006999999999999999																																			0.9823333333333334																																							1.0		0.0	0.0	1.0									
ACEA_ER_AUC_viability                                     		0.0		0.201	0.0		0.0	0.0		0.0			0.028999999999999998		1.0	0.001	0.268	0.001		0.536	0.001										0.001		0.0				0.0	0.006	0.01	1.0	0.002			0.851	1.0			0.27699999999999997					0.258		0.0				0.0			1.0	1.0	1.0			0.003													1.0				0.0												1.0	0.019															0.011000000000000001		0.002				0.0				0.0	0.018000000000000002		0.0				0.235		0.426	1.0	0.0		0.16899999999999998		0.97		0.991			0.0											0.0						0.055999999999999994				0.001					0.001								0.37200000000000005	0.2		0.59											1.0				0.0				0.21933333333333335				0.012							0.0	0.0														0.0	0.363					0.272		0.0			0.01										0.0					0.888							0.002	0.055		0.903							0.0	0.31		0.006999999999999999		1.0				1.0						1.0										0.0		0.0			0.0																	0.003						0.951																						1.0																																			0.0																																							0.0		0.11800000000000001	1.0	0.0									
APR_HepG2_CellCycleArrest_1h_dn                           																																																																																																																																																																								0.0																																																																																										0.0														1.0																																																																																																																																																													
APR_HepG2_CellCycleArrest_1h_up                           																																																																																																																																																																								0.0																																																																																										0.0														0.0																																																																																																																																																													
APR_HepG2_CellCycleArrest_24h_dn                          		0.0		0.0						0.0			0.0		0.0			0.0		0.0	0.0												0.0					0.0		0.0															0.0				0.0			0.0																		0.41600000000000004				0.0												0.993	0.0															0.015		0.0				0.0				1.0									0.986		0.0		0.0							0.0											0.0															0.0									0.0																					0.0				1.0																														0.0																									0.0	0.0									0.0					0.7946666666666666				1.0																0.0																																																		0.0																																			0.0																																							0.0		0.0	0.9990000000000001										
APR_HepG2_CellCycleArrest_24h_up                          		0.0		0.0						0.0			0.0		0.0			0.0		0.993	0.0												0.0					0.0		0.075															0.0				0.0			0.0																		0.0				0.0												0.0	0.0															0.0		0.0				1.0				0.0									0.0		0.0		0.0							1.0											0.0															0.504									0.0																					0.0				0.0																														0.0																									0.0	0.0									0.0					0.0				0.0																0.0																																																		1.0																																			0.013999999999999999																																							0.0		0.0	0.517										
APR_HepG2_CellCycleArrest_72h_dn                          		0.0		0.0						0.0			0.001		1.0			0.0		0.0	0.0												0.0					0.0		0.0															0.0				0.0			1.0																		1.0				0.0												1.0	0.0															0.9129999999999999		0.0				0.0				1.0									1.0		0.0		0.0							1.0											0.0															0.001									0.0																					0.0				1.0																														0.937																									0.0	0.0									0.0					0.9983333333333334				0.11900000000000001																0.0																																																		0.154																																			0.0																																							0.0		0.0	1.0										
APR_HepG2_CellCycleArrest_72h_up                          		0.0		0.0						0.0			0.0		0.0			0.0		0.0	0.0												0.0					0.0		0.0															0.0				0.0			0.0																		0.0				0.0												0.0	0.0															0.0		0.0				1.0				0.0									0.0		0.0		0.0							0.0											0.0															0.0									0.0																					0.0				0.0																														0.0																									0.0	0.0									0.0					0.0				0.0																0.0																																																		0.0																																			0.055999999999999994																																							0.0		0.0	0.0										
APR_HepG2_CellLoss_1h_dn                                  																																																																																																																																																																								0.0																																																																																										0.0														1.0																																																																																																																																																													
APR_HepG2_CellLoss_1h_up                                  																																																																																																																																																																								0.0																																																																																										0.0														0.0																																																																																																																																																													
APR_HepG2_CellLoss_24h_dn                                 		0.0		0.0						0.0			0.0		0.004			0.0		0.0	0.0												0.0					0.0		0.0															0.0				0.0			1.0																		1.0				0.0												1.0	0.0															0.0		0.0				0.0				1.0									1.0		0.0		0.0							0.0											0.0															0.0									0.0																					0.0				0.983																														0.002																									0.0	0.0									0.0					1.0				1.0																0.0																																																		1.0																																			0.0																																							0.0		0.0	0.997										
APR_HepG2_CellLoss_24h_up                                 		0.0		0.0						0.0			0.0		0.0			0.0		0.0	0.0												0.0					0.0		0.0															0.0				0.0			0.0																		0.0				0.0												0.0	0.0															0.0		0.0				0.0				0.0									0.0		0.0		0.0							0.0											0.0															0.0									0.0																					0.0				0.0																														0.0																									0.0	0.0									0.0					0.0				0.0																0.0																																																		0.0																																			0.0																																							0.0		0.0	0.0										
APR_HepG2_CellLoss_72h_dn                                 		0.0		0.0						0.0			0.0		1.0			0.0		0.0	0.0												0.0					0.0		1.0															0.0				0.0			1.0																		1.0				0.0												1.0	0.0															1.0		0.0				1.0				1.0									1.0		0.0		0.0							0.0											0.0															0.976									0.0																					1.0				1.0																														1.0																									0.0	0.016									0.0					1.0				1.0																0.0																																																		1.0																																			0.0																																							0.0		0.0	1.0										
APR_HepG2_CellLoss_72h_up                                 		0.0		0.0						0.0			0.0		0.0			0.0		0.0	0.0												0.0					0.0		0.0															0.0				0.0			0.0																		0.0				0.0												0.0	0.0															0.0		0.0				0.0				0.0									0.0		0.0		0.0							0.0											0.0															0.0									0.0																					0.0				0.0																														0.0																									0.0	0.0									0.0					0.0				0.0																0.0																																																		0.0																																			0.0																																							0.0		0.0	0.0										
APR_HepG2_MicrotubuleCSK_1h_dn                            																																																																																																																																																																								0.0																																																																																										0.0														0.0																																																																																																																																																													
APR_HepG2_MicrotubuleCSK_1h_up                            																																																																																																																																																																								0.0																																																																																										0.0														0.0																																																																																																																																																													
